"startTime";"endTime";"Electricity consumption in Finland"
"2019-12-31T22:00:00.000Z";"2019-12-31T23:00:00.000Z";9822
"2019-12-31T23:00:00.000Z";"2020-01-01T00:00:00.000Z";9548
"2019-12-31T23:55:00.000Z";"2020-01-01T00:55:00.000Z";9262
"2020-01-01T01:00:00.000Z";"2020-01-01T02:00:00.000Z";9141
"2020-01-01T02:00:00.000Z";"2020-01-01T03:00:00.000Z";9149
"2020-01-01T03:00:00.000Z";"2020-01-01T04:00:00.000Z";9206
"2020-01-01T04:00:00.000Z";"2020-01-01T05:00:00.000Z";9432
"2020-01-01T05:00:00.000Z";"2020-01-01T06:00:00.000Z";9419
"2020-01-01T06:00:00.000Z";"2020-01-01T07:00:00.000Z";9558
"2020-01-01T07:00:00.000Z";"2020-01-01T08:00:00.000Z";9522
"2020-01-01T08:00:00.000Z";"2020-01-01T09:00:00.000Z";9578
"2020-01-01T08:55:00.000Z";"2020-01-01T09:55:00.000Z";9682
"2020-01-01T10:00:00.000Z";"2020-01-01T11:00:00.000Z";9677
"2020-01-01T10:55:00.000Z";"2020-01-01T11:55:00.000Z";9681
"2020-01-01T11:00:00.000Z";"2020-01-01T12:00:00.000Z";9684
"2020-01-01T12:00:00.000Z";"2020-01-01T13:00:00.000Z";9775
"2020-01-01T13:00:00.000Z";"2020-01-01T14:00:00.000Z";10113
"2020-01-01T13:55:00.000Z";"2020-01-01T14:55:00.000Z";10319
"2020-01-01T15:00:00.000Z";"2020-01-01T16:00:00.000Z";10374
"2020-01-01T16:00:00.000Z";"2020-01-01T17:00:00.000Z";10400
"2020-01-01T17:00:00.000Z";"2020-01-01T18:00:00.000Z";10315
"2020-01-01T18:00:00.000Z";"2020-01-01T19:00:00.000Z";10080
"2020-01-01T19:00:00.000Z";"2020-01-01T20:00:00.000Z";9674
"2020-01-01T20:00:00.000Z";"2020-01-01T21:00:00.000Z";9879
"2020-01-01T21:00:00.000Z";"2020-01-01T22:00:00.000Z";9675
"2020-01-01T22:00:00.000Z";"2020-01-01T23:00:00.000Z";9315
"2020-01-01T23:00:00.000Z";"2020-01-02T00:00:00.000Z";8977
"2020-01-01T23:55:00.000Z";"2020-01-02T00:55:00.000Z";8795
"2020-01-02T00:55:00.000Z";"2020-01-02T01:55:00.000Z";8648
"2020-01-02T02:00:00.000Z";"2020-01-02T03:00:00.000Z";8682
"2020-01-02T02:55:00.000Z";"2020-01-02T03:55:00.000Z";8868
"2020-01-02T03:55:00.000Z";"2020-01-02T04:55:00.000Z";9505
"2020-01-02T05:00:00.000Z";"2020-01-02T06:00:00.000Z";9946
"2020-01-02T06:00:00.000Z";"2020-01-02T07:00:00.000Z";10290
"2020-01-02T07:00:00.000Z";"2020-01-02T08:00:00.000Z";10237
"2020-01-02T08:00:00.000Z";"2020-01-02T09:00:00.000Z";10202
"2020-01-02T09:00:00.000Z";"2020-01-02T10:00:00.000Z";10182
"2020-01-02T09:55:00.000Z";"2020-01-02T10:55:00.000Z";10211
"2020-01-02T10:55:00.000Z";"2020-01-02T11:55:00.000Z";10198
"2020-01-02T12:00:00.000Z";"2020-01-02T13:00:00.000Z";10186
"2020-01-02T13:00:00.000Z";"2020-01-02T14:00:00.000Z";10392
"2020-01-02T14:00:00.000Z";"2020-01-02T15:00:00.000Z";10501
"2020-01-02T14:55:00.000Z";"2020-01-02T15:55:00.000Z";10524
"2020-01-02T16:00:00.000Z";"2020-01-02T17:00:00.000Z";10447
"2020-01-02T17:00:00.000Z";"2020-01-02T18:00:00.000Z";10416
"2020-01-02T17:55:00.000Z";"2020-01-02T18:55:00.000Z";10263
"2020-01-02T19:00:00.000Z";"2020-01-02T20:00:00.000Z";9896
"2020-01-02T20:00:00.000Z";"2020-01-02T21:00:00.000Z";9991
"2020-01-02T20:55:00.000Z";"2020-01-02T21:55:00.000Z";9820
"2020-01-02T22:00:00.000Z";"2020-01-02T23:00:00.000Z";9326
"2020-01-02T23:00:00.000Z";"2020-01-03T00:00:00.000Z";8950
"2020-01-03T00:00:00.000Z";"2020-01-03T01:00:00.000Z";8807
"2020-01-03T01:00:00.000Z";"2020-01-03T02:00:00.000Z";8759
"2020-01-03T02:00:00.000Z";"2020-01-03T03:00:00.000Z";8801
"2020-01-03T02:55:00.000Z";"2020-01-03T03:55:00.000Z";9034
