"datasetId";"startTime";"endTime";"value";"additionalJson"
363;"2026-09-13T23:00:00.000Z";"2026-09-14T00:00:00.000Z";4014826.907;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T23:00:00Z"",""Value"":""4014826.907"",""Count"":""3707389""}"
363;"2026-09-13T22:00:00.000Z";"2026-09-13T23:00:00.000Z";4158126.181;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T22:00:00Z"",""Value"":""4158126.181"",""Count"":""3711187""}"
363;"2026-09-13T21:00:00.000Z";"2026-09-13T22:00:00.000Z";4358442.283;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T21:00:00Z"",""Value"":""4358442.283"",""Count"":""3731926""}"
363;"2026-09-13T20:00:00.000Z";"2026-09-13T21:00:00.000Z";4818975.866;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T20:00:00Z"",""Value"":""4818975.866"",""Count"":""3770260""}"
363;"2026-09-13T19:00:00.000Z";"2026-09-13T20:00:00.000Z";5044040.89;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T19:00:00Z"",""Value"":""5044040.89"",""Count"":""3770532""}"
363;"2026-09-13T18:00:00.000Z";"2026-09-13T19:00:00.000Z";4978960.719;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T18:00:00Z"",""Value"":""4978960.719"",""Count"":""3770930""}"
363;"2026-09-13T17:00:00.000Z";"2026-09-13T18:00:00.000Z";5151138.012;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T17:00:00Z"",""Value"":""5151138.012"",""Count"":""3766753""}"
363;"2026-09-13T16:00:00.000Z";"2026-09-13T17:00:00.000Z";4995018.847;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T16:00:00Z"",""Value"":""4995018.847"",""Count"":""3771198""}"
363;"2026-09-13T15:00:00.000Z";"2026-09-13T16:00:00.000Z";4866666.943;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T15:00:00Z"",""Value"":""4866666.943"",""Count"":""3771225""}"
363;"2026-09-13T14:00:00.000Z";"2026-09-13T15:00:00.000Z";4773306.266;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T14:00:00Z"",""Value"":""4773306.266"",""Count"":""3771421""}"
363;"2026-09-13T13:00:00.000Z";"2026-09-13T14:00:00.000Z";4668186.22;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T13:00:00Z"",""Value"":""4668186.22"",""Count"":""3771501""}"
363;"2026-09-13T12:00:00.000Z";"2026-09-13T13:00:00.000Z";4620792.169;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T12:00:00Z"",""Value"":""4620792.169"",""Count"":""3771575""}"
363;"2026-09-13T11:00:00.000Z";"2026-09-13T12:00:00.000Z";4600724.956;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T11:00:00Z"",""Value"":""4600724.956"",""Count"":""3771643""}"
363;"2026-09-13T10:00:00.000Z";"2026-09-13T11:00:00.000Z";4607863.207;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T10:00:00Z"",""Value"":""4607863.207"",""Count"":""3771561""}"
363;"2026-09-13T09:00:00.000Z";"2026-09-13T10:00:00.000Z";4638368.964;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T09:00:00Z"",""Value"":""4638368.964"",""Count"":""3771872""}"
363;"2026-09-13T08:00:00.000Z";"2026-09-13T09:00:00.000Z";4578678.478;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T08:00:00Z"",""Value"":""4578678.478"",""Count"":""3771862""}"
363;"2026-09-13T07:00:00.000Z";"2026-09-13T08:00:00.000Z";4455651.029;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T07:00:00Z"",""Value"":""4455651.029"",""Count"":""3771988""}"
363;"2026-09-13T06:00:00.000Z";"2026-09-13T07:00:00.000Z";4297382.861;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T06:00:00Z"",""Value"":""4297382.861"",""Count"":""3772142""}"
363;"2026-09-13T05:00:00.000Z";"2026-09-13T06:00:00.000Z";4100444.965;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T05:00:00Z"",""Value"":""4100444.965"",""Count"":""3771910""}"
363;"2026-09-13T04:00:00.000Z";"2026-09-13T05:00:00.000Z";3924524.312;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T04:00:00Z"",""Value"":""3924524.312"",""Count"":""3772134""}"
363;"2026-09-13T03:00:00.000Z";"2026-09-13T04:00:00.000Z";3921067.088;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T03:00:00Z"",""Value"":""3921067.088"",""Count"":""3772230""}"
363;"2026-09-13T02:00:00.000Z";"2026-09-13T03:00:00.000Z";3900214.429;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T02:00:00Z"",""Value"":""3900214.429"",""Count"":""3772526""}"
363;"2026-09-13T01:00:00.000Z";"2026-09-13T02:00:00.000Z";3918229.929;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T01:00:00Z"",""Value"":""3918229.929"",""Count"":""3772671""}"
363;"2026-09-13T00:00:00.000Z";"2026-09-13T01:00:00.000Z";3979608.373;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-13T00:00:00Z"",""Value"":""3979608.373"",""Count"":""3772815""}"
363;"2026-09-12T23:00:00.000Z";"2026-09-13T00:00:00.000Z";4092027.477;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-12T23:00:00Z"",""Value"":""4092027.477"",""Count"":""3772795""}"
363;"2026-09-12T22:00:00.000Z";"2026-09-12T23:00:00.000Z";4148133.557;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-12T22:00:00Z"",""Value"":""4148133.557"",""Count"":""3772970""}"
363;"2026-09-12T21:00:00.000Z";"2026-09-12T22:00:00.000Z";4368035.371;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-12T21:00:00Z"",""Value"":""4368035.371"",""Count"":""3788084""}"
363;"2026-09-12T20:00:00.000Z";"2026-09-12T21:00:00.000Z";4732865.224;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-12T20:00:00Z"",""Value"":""4732865.224"",""Count"":""3796234""}"
363;"2026-09-12T19:00:00.000Z";"2026-09-12T20:00:00.000Z";4943123.071;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-12T19:00:00Z"",""Value"":""4943123.071"",""Count"":""3796247""}"
363;"2026-09-12T18:00:00.000Z";"2026-09-12T19:00:00.000Z";4922423.356;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-12T18:00:00Z"",""Value"":""4922423.356"",""Count"":""3796250""}"
363;"2026-09-12T17:00:00.000Z";"2026-09-12T18:00:00.000Z";5132893.031;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-12T17:00:00Z"",""Value"":""5132893.031"",""Count"":""3796257""}"
363;"2026-09-12T16:00:00.000Z";"2026-09-12T17:00:00.000Z";5053027.939;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-12T16:00:00Z"",""Value"":""5053027.939"",""Count"":""3796265""}"
363;"2026-09-12T15:00:00.000Z";"2026-09-12T16:00:00.000Z";4953756.967;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-12T15:00:00Z"",""Value"":""4953756.967"",""Count"":""3796273""}"
363;"2026-09-12T14:00:00.000Z";"2026-09-12T15:00:00.000Z";4835766.412;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-12T14:00:00Z"",""Value"":""4835766.412"",""Count"":""3796270""}"
363;"2026-09-12T13:00:00.000Z";"2026-09-12T14:00:00.000Z";4708554.95;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-12T13:00:00Z"",""Value"":""4708554.95"",""Count"":""3796281""}"
363;"2026-09-12T12:00:00.000Z";"2026-09-12T13:00:00.000Z";4632793.601;"{""TimeSeriesType"":""CTT_SUM_CONS_ACP"",""Res"":""PT1H"",""Uom"":""KWH"",""ReadTS"":""2026-09-12T12:00:00Z"",""Value"":""4632793.601"",""Count"":""3796279""}"
